	sample	read_count	ploidy	k	min_hom	max_hom	min_het	max_het	min_hap_len	max_hap_len	min_rep_len	max_rep_len	min_uniq_len	max_uniq_len	min_model_fit	max_model_fit	min_read_error_rate	max_read_error_rate
1	Apolemia-sp3	294867242	2	21	95.1536	96.6625	3.33746	4.84638	167658274	178134448	146576637	155735518	21081638	22398930	25.0705	85.7209	2.29056	2.29056
3	Stephalia-dilata	441906620	2	21	94.2493	97.4593	2.5407	5.75067	292423260	316931719	260383310	282206449	32039951	34725270	23.7087	84.6189	1.96799	1.96799
5	Erenna-sirena	670489690	2	21	95.1971	96.6735	3.32647	4.80288	428738750	454645539	374028921	396629837	54709829	58015702	25.9845	86.3591	2.21636	2.21636
7	Resomia-ornicephala-T898-D2	1145129994	2	21	98.9699	100.0	0.0	1.03011	1660789455	2241026972	1000354970	1349853506	660434486	891173466	48.0332	93.7111	0.507007	0.507007
9	Resomia-ornicephala-T845-D3	338144852	2	21	85.1048	97.2289	2.77105	14.8952	466899513	482151337	325482353	336114618	141417161	146036719	32.683	84.2054	1.40665	1.40665
11	Rosacea-flaccida	203202682	2	21	94.6983	95.7772	4.22283	5.30167	157288426	164538146	128935437	134878314	28352989	29659832	30.4937	86.1471	3.24999	3.24999
13	Abylopsis-tetragona	212920404	2	21	95.2445	96.2104	3.78961	4.75546	164923689	173373420	137528495	144574655	27395194	28798765	29.8982	87.0954	3.14342	3.14342
15	Hippopodius-hippopus	541211246	2	21	95.2605	96.2297	3.77026	4.73947	359707281	379514401	297696066	314088567	62011214	65425834	30.7696	89.425	2.53086	2.53086
17	Agalma-elegans-Pacific	2072420934	2	21	97.1612	97.2349	2.7651	2.83881	2329230058	2348225503	1341982317	1352926514	987247741	995298990	54.2543	97.0542	0.465102	0.465102
19	Chelophyes-appendiculata	706805948	2	21	94.7547	94.922	5.07803	5.24532	1199657949	1207774278	684498267	689129264	515159682	518645013	53.0416	94.9786	0.347663	0.347663
21	Gymnopraia-lapislazula	1762362022	2	21	92.2489	95.643	4.35703	7.75107	2327701167	2438153609	1956561729	2049403122	371139439	388750487	23.272	84.3982	0.791838	0.791838
23	Apolemia-rubriversa	506486748	2	21	95.3099	96.5911	3.40895	4.69014	339364268	359384860	296642430	314142674	42721837	45242187	24.9699	86.6122	2.38164	2.38164
