Sequence_ID	Specimen_voucher	Country	Lat_Lon	Collection_date									
Abylopsis_tetragona	YPM:IZ:35350	Atlantic Ocean	39.75 N 70.87 W	28-Jun-1999									
Agalma_clausi	YPM:IZ:35024	Atlantic Ocean	37.43 N 72.68 W	22-Sep-2002									
Agalma_elegans_Atlantic	YPM:IZ:35029	Atlantic Ocean	37.63 N 73.45 W	18-Sep-2002									
Agalma_elegans_Pacific		Pacific Ocean	36.22 N 123.77 W	19-Jul-2003									
Agalma_okeni	YPM:IZ:35030	Atlantic Ocean	38.17 N 72.98 W	17-Sep-2002									
Apolemia_rubriversa		Pacific Ocean	36.698 N 122.0719 W	30-Oct-2021									
Apolemia_sp3	YPM:IZ:35090	Pacific Ocean	36.23 N 122.77 W	18-Jul-2003									
Bargmannia_elongata		Pacific Ocean	36.22 N 123.77 W	19-Jul-2003									
Bargmannia_lata	YPM:IZ:110226	Pacific Ocean	36.225 N 123.1424 W	29-Oct-2021									
Chelophyes_appendiculata	YPM:IZ:35049	Atlantic Ocean	39.7 N 70.90 W	28-Jun-1999									
Chuniphyes_multidentata	YPM:IZ:110225	Pacific Ocean	36.224784 N 123.14242 W	29-Oct-2021									
Cordagalma_ordinatum	YPM:IZ:35032	Atlantic Ocean	37.68 N 73.13 W	11-Jun-2002									
Craseoa_lathetica		Pacific Ocean	36.6844 N 122.072 W	23-Sep-2021									
Diphyes_dispar	YPM:IZ:35033	Atlantic Ocean	36.98 N 73.85 W	19-Sep-2002									
Erenna_sirena	YPM:IZ:35362	Pacific Ocean	24.32 N 109.2 W	13-Mar-2003									
Forskalia_sp		Pacific Ocean	36.697 N 122.0724 W	30-Oct-2021									
Gymnopraia_lapislazula	YPM:IZ:35360	Pacific Ocean	36.70 N 122.04 W	13-Jan-2000									
Halistemma_rubrum_Mediterranean	YPM:IZ:35038	Mediterranean Sea	43.68 N 7.33 E	16-Apr-2003									
Halistemma_rubrum_Atlantic	YPM:IZ:35040	Atlantic Ocean	38.85 N 72.45 W	16-Sep-2002									
Nanomia_sp_Pacific		Pacific Ocean	36.698983 N 122.050126 W	11-Feb-2013									
Nanomia_bijuga_Atlantic	YPM:IZ:35039	Atlantic Ocean	37.45 N 74.02 W	8-Jun-2002									
Physalia_physalis_Pacific	YPM:IZ:104465	Pacific Ocean	13.428 N 144.799 W	23-Nov-2018									
Physonect_sp		Pacific Ocean	36.698 N 122.0716 W	30-Oct-2021									
Praya		Pacific Ocean	36.2235 N 123.143176 W	30-Oct-2021									
Praya_dubia	YPM:IZ:35346	Pacific Ocean	36.71 N 122.05 W	12-Mar-1999									
Resomia_ornicephala_T898D2		Pacific Ocean	35.648785 N 122.737913 W	16-May-2006									
Resomia_ornicephala_T845D3		Pacific Ocean	36.6990 N 122.0578 W	9-Apr-2005									
Rhizophysa_eysenhardtii	YPM:IZ:35355	Pacific Ocean	24.32 N 109.20 W	15-Mar-2003									
Rhizophysa_filiformis	YPM:IZ:35347	Atlantic Ocean	40.31 N 68.14 W	20-Jul-1999									
Rosacea_flaccida	YPM:IZ:35041	Atlantic Ocean	38.9 N 70.27 W	24-Sep-2002									
Stephalia_dilata	YPM:IZ:35358	Pacific Ocean	24.31 N 109.20 W	26-Mar-2003									
Stephanomia_amphytridis	YPM:IZ:35076	Atlantic Ocean	40.31 N 68.13 W	3-Jul-2002									
