	sample	read_count	ploidy	k	min_hom	max_hom	min_het	max_het	min_hap_len	max_hap_len	min_rep_len	max_rep_len	min_uniq_len	max_uniq_len	min_model_fit	max_model_fit	min_read_error_rate	max_read_error_rate
0	Agalma-elegans_CWD116_100x	1552820039	2	21	97.1454	97.2312	2.76882	2.85464	2381574628	2407154158	1398353072	1413372217	983221555	993781941	52.6977	97.509	0.451675	0.451675
1	Agalma-elegans_CWD116_090x	1397538035	2	21	97.1401	97.2307	2.76932	2.85993	2398103380	2427022571	1416294522	1433373891	981808857	993648680	52.0251	97.1666	0.433862	0.433862
2	Agalma-elegans_CWD116_080x	1242256031	2	21	97.1342	97.2303	2.76974	2.86577	2414645879	2447657491	1434717664	1454332276	979928215	993325215	51.5639	97.3149	0.406846	0.406846
3	Agalma-elegans_CWD116_070x	1086974027	2	21	97.1249	97.2361	2.76392	2.87507	2428117717	2471544498	1451718164	1477682080	976399554	993862418	48.4292	97.1227	0.377173	0.377173
4	Agalma-elegans_CWD116_060x	931692023	2	21	97.1124	97.2569	2.74309	2.88758	2444340949	2496122320	1471258192	1502425598	973082756	993696722	48.0918	97.1314	0.34052	0.34052
5	Agalma-elegans_CWD116_050x	776410019	2	21	97.0947	97.3762	2.62377	2.90534	2463271522	2530890442	1495475897	1536527995	967795625	994362447	47.5614	96.7126	0.295469	0.295469
6	Agalma-elegans_CWD116_040x	621128015	2	21	84.3783	97.6963	2.30375	15.6217	1241469045	1274259708	807773598	829109154	433695447	445150554	37.2404	84.643	0.886759	0.886759
7	Agalma-elegans_CWD116_030x	465846012	2	21	87.1534	95.8386	4.16139	12.8466	1045153783	1076257612	719082400	740482329	326071382	335775283	35.8457	84.4184	1.17249	1.17249
8	Agalma-elegans_CWD116_020x	310564008	2	21	91.3477	94.7286	5.27137	8.65234	674333436	695449532	524199656	540614458	150133781	154835074	28.3385	77.6276	1.93584	1.93584
9	Chelophyes_CWD122_080x	639817573	2	21	94.7441	94.9232	5.07682	5.25592	1203549452	1213593064	691137462	696905000	512411989	516688064	52.865	95.1174	0.34689	0.34689
10	Chelophyes_CWD122_070x	559840376	2	21	94.7231	94.9245	5.07552	5.27687	1204025320	1218573826	696711940	705130466	507313380	513443361	53.0673	95.632	0.340708	0.340708
11	Chelophyes_CWD122_060x	479863180	2	21	94.686	94.9228	5.0772	5.31397	1194667934	1218219262	696207770	709932602	498460164	508286660	52.2315	95.152	0.34386	0.34386
12	Chelophyes_CWD122_050x	399885983	2	21	94.552	94.8685	5.13146	5.44797	1151046892	1195916173	676013988	702365879	475032904	493550294	51.0492	94.1408	0.389345	0.389345
13	Chelophyes_CWD122_040x	399885983	2	21	94.552	94.8685	5.13146	5.44797	1151046892	1195916173	676013988	702365879	475032904	493550294	51.0492	94.1408	0.389345	0.389345
14	Chelophyes_CWD122_030x	239931590	2	21	93.7429	94.5021	5.49785	6.25707	1077867743	1152471418	658502966	704080674	419364777	448390745	49.9735	93.5581	0.418306	0.418306
15	Chelophyes_CWD122_020x	159954393	2	21	90.5747	94.7135	5.28646	9.42529	367429039	378796657	267789944	276074901	99639095	102721756	33.746	79.4018	2.19353	2.19353
16	Resomia_NA10_100x	1107192970	2	21	98.8893	100.0	0.0	1.1107	1650951583	2280936079	992948910	1371847011	658002673	909089068	47.8855	93.9194	0.502568	0.502568
17	Resomia_NA10_090x	996473673	2	21	98.8046	100.0	0.0	1.19535	1645930341	2349842593	980987472	1400524729	664942869	949317864	47.8154	94.3373	0.492749	0.492749
