Index	Filename	Homozygous (aa) min	Homozygous (aa) max	Heterozygous (ab) min	Heterozygous (ab) max	Genome Haploid Length min	Genome Haploid Length max	Genome Repeat Length min	Genome Repeat Length max	Genome Unique Length min	Genome Unique Length max	Model Fit min	Model Fit max	Read Error Rate min	Read Error Rate max
0001	sample_0001_summary.txt	94.7783	95.6608	4.33917	5.22172	4513163	4704506	3487732	3635600	1025431	1068906	37.8581	86.3423	6.07467	6.07467
0002	sample_0002_summary.txt	95.0363	95.8302	4.16979	4.96367	10227048	10626800	8090893	8407148	2136155	2219652	37.3796	87.7949	5.38087	5.38087
0003	sample_0003_summary.txt	95.1523	95.9207	4.07925	4.84771	16343771	17008331	13008914	13537873	3334858	3470457	35.4932	86.1413	4.99128	4.99128
0004	sample_0004_summary.txt	95.1581	95.9637	4.03631	4.8419	22827754	23808139	18308926	19095241	4518828	4712898	34.7005	86.6591	4.73067	4.73067
0005	sample_0005_summary.txt	95.2212	96.0055	3.99447	4.77877	29110672	30363934	23386797	24393636	5723876	5970298	34.795	86.9193	4.58598	4.58598
0006	sample_0006_summary.txt	95.2458	96.0249	3.97514	4.75421	35538946	37053959	28646279	29867460	6892667	7186499	34.5247	86.9037	4.45178	4.45178
0007	sample_0007_summary.txt	95.2282	96.031	3.969	4.77184	42323870	44148010	34270486	35747529	8053384	8400481	34.0526	86.7907	4.32384	4.32384
0008	sample_0008_summary.txt	95.2164	96.035	3.96502	4.7836	49044127	51163267	39839594	41561017	9204533	9602250	33.7653	86.8886	4.21981	4.21981
0009	sample_0009_summary.txt	95.2117	96.0421	3.95793	4.78832	55782821	58213954	45404969	47383813	10377853	10830141	33.5173	87.0314	4.12906	4.12906
0010	sample_0010_summary.txt	95.2101	96.0514	3.94863	4.78989	62638471	65402871	51076847	53331002	11561624	12071869	32.8159	86.0941	4.04657	4.04657
0011	sample_0011_summary.txt	95.1982	96.0599	3.94006	4.80182	69403589	72514801	56695019	59236534	12708570	13278267	32.6028	86.2345	3.97391	3.97391
0012	sample_0012_summary.txt	95.187	96.0714	3.92856	4.81299	76096987	79566972	62270597	65110106	13826390	14456866	32.4704	86.4967	3.91142	3.91142
0013	sample_0013_summary.txt	95.1748	96.0865	3.91353	4.82517	82754429	86607785	67836427	70995145	14918002	15612640	32.3637	86.7657	3.85663	3.85663
0014	sample_0014_summary.txt	95.1777	96.1055	3.89455	4.82226	89467298	93706499	73452306	76932673	16014992	16773825	32.2753	87.0757	3.80609	3.80609
0015	sample_0015_summary.txt	95.1841	96.1271	3.87292	4.81593	96251782	100893207	79159158	82976349	17092623	17916859	32.1724	87.3604	3.7591	3.7591
0016	sample_0016_summary.txt	95.2075	96.1512	3.84884	4.79254	103125664	108168005	84926701	89079201	18198963	19088803	32.0563	87.5548	3.71632	3.71632
0017	sample_0017_summary.txt	95.2291	96.1751	3.82486	4.77093	110010990	115463905	90726236	95223263	19284755	20240642	31.9276	87.6946	3.67699	3.67699
0018	sample_0018_summary.txt	95.2542	96.1992	3.80075	4.7458	116996132	122868234	96624421	101474054	20371712	21394180	31.7635	87.7022	3.63992	3.63992
0019	sample_0019_summary.txt	95.2915	96.2236	3.77642	4.70852	124198922	130487628	102703785	107904104	21495136	22583524	31.5911	87.6744	3.60534	3.60534
0020	sample_0020_summary.txt	95.3324	96.2447	3.75532	4.66764	131483502	138153322	108865762	114388242	22617740	23765080	31.4235	87.6173	3.57311	3.57311
0021	sample_0021_summary.txt	95.3717	96.2637	3.73632	4.62833	138947577	145991358	115212880	121053459	23734697	24937899	31.2488	87.587	3.54162	3.54162
0022	sample_0022_summary.txt	95.4126	96.2802	3.71978	4.58736	146598105	153998321	121720608	127865017	24877498	26133304	31.0569	87.5148	3.51117	3.51117
0023	sample_0023_summary.txt	95.451	96.2938	3.70619	4.54902	154451032	162186445	128430921	134863161	26020111	27323284	30.861	87.4409	3.48138	3.48138
0024	sample_0024_summary.txt	94.465	95.5129	4.48708	5.535	416794329	431898134	350416448	363114849	66377881	68783284	25.9986	79.8123	2.62657	2.62657
0025	sample_0025_summary.txt	94.1672	95.3549	4.64512	5.83283	450653589	466511587	377042324	390310023	73611266	76201564	26.5885	79.2451	2.52276	2.52276
0026	sample_0026_summary.txt	93.8245	95.1961	4.80386	6.17552	483907887	500450985	401901153	415640731	82006734	84810254	26.5669	78.5026	2.43776	2.43776
0027	sample_0027_summary.txt	93.4418	95.0475	4.95252	6.55819	518338546	535600698	426628185	440836120	91710361	94764578	26.6732	77.9836	2.34927	2.34927
0028	sample_0028_summary.txt	93.0289	94.9202	5.07976	6.97105	553190136	571196571	450577831	465244218	102612305	105952353	26.8892	77.6639	2.25943	2.25943
0029	sample_0029_summary.txt	92.5866	94.8208	5.17918	7.41341	588829864	607636028	474051393	489191740	114778471	118444288	27.1685	77.4654	2.16768	2.16768
0030	sample_0030_summary.txt	92.1255	94.7542	5.24577	7.87447	624809587	644470524	496701872	512331632	128107715	132138892	27.4735	77.2588	2.07567	2.07567
0031	sample_0031_summary.txt	91.6529	94.7237	5.27633	8.34713	665872630	686607750	523559060	539862569	142313569	146745181	28.89	77.3763	1.94849	1.94849
0032	sample_0032_summary.txt	91.1775	94.7274	5.27261	8.82247	701634176	723319797	544404793	561230878	157229383	162088919	29.4052	77.6675	1.86169	1.86169
0033	sample_0033_summary.txt	90.7083	94.7632	5.23675	9.29171	736756914	759422866	564204176	581561630	172552738	177861236	29.9762	78.0878	1.77829	1.77829
0034	sample_0034_summary.txt	90.2576	94.8231	5.17687	9.74243	771115437	794766732	583050126	600933169	188065311	193833563	30.5891	78.6145	1.69871	1.69871
0035	sample_0035_summary.txt	89.8247	94.9049	5.09506	10.1753	804527234	829157520	600967111	619365483	203560124	209792037	31.2294	79.2165	1.62347	1.62347
0036	sample_0036_summary.txt	89.4188	94.999	5.00099	10.5812	836565506	862113557	617761277	636627219	218804229	225486338	31.8936	79.8819	1.5533	1.5533
0037	sample_0037_summary.txt	89.044	95.0998	4.90022	10.956	862699233	888987005	628947080	648112065	233752153	240874940	31.2093	79.6299	1.51337	1.51337
0038	sample_0038_summary.txt	89.506	94.9702	5.02982	10.494	826345798	851187710	611340559	629718904	215005239	221468806	31.6143	79.5551	1.58341	1.58341
0039	sample_0039_summary.txt	89.1308	95.0672	4.93276	10.8692	855975540	881635337	626563008	645345647	229412532	236289690	32.2535	80.2131	1.51888	1.51888
0040	sample_0040_summary.txt	88.7836	95.1695	4.83051	11.2164	879871410	906128835	636545669	655541684	243325741	250587151	31.5575	79.8474	1.48207	1.48207
0041	sample_0041_summary.txt	88.4582	95.2765	4.72354	11.5418	907091624	934030020	650239576	669550096	256852048	264479923	32.1922	80.505	1.42509	1.42509
0042	sample_0042_summary.txt	88.1534	95.3874	4.61258	11.8466	932915636	960455651	663078225	682652539	269837412	277803112	32.8276	81.1685	1.37256	1.37256
0043	sample_0043_summary.txt	87.8782	95.4936	4.50639	12.1218	957086367	985085489	674986975	694733409	282099392	290352080	33.4585	81.8415	1.32483	1.32483
0044	sample_0044_summary.txt	87.621	95.5995	4.40047	12.379	980241863	1008654797	686275754	706167893	293966109	302486904	34.0795	82.5022	1.28024	1.28024
0045	sample_0045_summary.txt	87.3846	95.702	4.29801	12.6154	1001945512	1030656736	696777573	716744065	305167939	313912671	34.6829	83.1472	1.23966	1.23966
0046	sample_0046_summary.txt	87.1566	95.8087	4.19129	12.8434	1022650387	1051603060	706741052	726749887	315909335	324853173	35.2558	83.7411	1.20196	1.20196
0047	sample_0047_summary.txt	86.9398	95.9168	4.08317	13.0602	1042022082	1071096681	716022412	736000937	325999670	335095744	35.8102	84.3203	1.1676	1.1676
0048	sample_0048_summary.txt	86.7306	96.0267	3.97331	13.2694	1059016339	1088168906	723143323	743049989	335873016	345118917	34.8959	83.2743	1.14337	1.14337
0049	sample_0049_summary.txt	86.5285	96.1371	3.86294	13.4715	1076840348	1106031879	731581602	751413686	345258745	354618194	35.4471	83.8583	1.11308	1.11308
0050	sample_0050_summary.txt	86.3299	96.2513	3.74868	13.6701	1093647904	1122801047	739481543	759193748	354166361	363607299	35.9776	84.4171	1.08522	1.08522
0051	sample_0051_summary.txt	86.1338	96.3679	3.63211	13.8662	1110029177	1139170652	747105862	766719550	362923316	372451102	36.4827	84.9363	1.05865	1.05865
0052	sample_0052_summary.txt	85.9224	96.503	3.49697	14.0776	1125732553	1154837981	754385673	773890055	371346880	380947926	36.9603	85.415	1.03372	1.03372
0053	sample_0053_summary.txt	85.7147	96.6389	3.36109	14.2853	1141406198	1170564729	761597530	781053413	379808668	389511316	37.403	85.8336	1.0094	1.0094
0054	sample_0054_summary.txt	85.4921	96.7913	3.20869	14.5079	1155775832	1184937953	767808260	787181323	387967571	397756630	36.4153	84.5042	0.989178	0.989178
0055	sample_0055_summary.txt	85.2529	96.9621	3.03792	14.7471	1170562728	1199777090	774554357	793885326	396008371	405891765	36.8509	84.9212	0.967154	0.967154
0056	sample_0056_summary.txt	85.0135	97.136	2.86401	14.9865	1185241082	1214566249	781178954	800506839	404062127	414059409	37.26	85.2973	0.945718	0.945718
0057	sample_0057_summary.txt	84.7541	97.3308	2.66915	15.2459	1199976523	1229488947	787835115	807211264	412141408	422277683	37.6423	85.6403	0.924657	0.924657
0058	sample_0058_summary.txt	85.19	96.9626	3.03736	14.81	1155452603	1182811884	763852348	781939158	391600255	400872727	36.9983	84.9947	0.987742	0.987742
0059	sample_0059_summary.txt	84.9536	97.1335	2.86652	15.0464	1168813409	1196216191	769797335	787845202	399016074	408370990	37.3894	85.3553	0.967685	0.967685
0060	sample_0060_summary.txt	84.6872	97.3335	2.6665	15.3128	1182038285	1209530271	775657613	793697950	406380672	415832322	37.7506	85.67	0.948195	0.948195
0061	sample_0061_summary.txt	97.0673	97.2416	2.75842	2.93268	2480400462	2556175604	1519471655	1565890845	960928807	990284759	47.2715	97.3604	0.252149	0.252149
0062	sample_0062_summary.txt	97.0713	97.2387	2.76128	2.92871	2479593465	2553383604	1518054726	1563230465	961538740	990153139	47.4892	97.5345	0.252046	0.252046
0063	sample_0063_summary.txt	97.0749	97.2364	2.76356	2.92515	2478268104	2550187135	1516067165	1560063245	962200939	990123890	46.7578	96.796	0.252686	0.252686
0064	sample_0064_summary.txt	97.0785	97.2349	2.76506	2.92146	2477182500	2547278416	1514406449	1557259048	962776051	990019368	46.9949	97.0201	0.252618	0.252618
0065	sample_0065_summary.txt	97.0814	97.2333	2.76671	2.91862	2475985536	2544390269	1512662704	1554453453	963322831	989936816	47.2236	97.2269	0.25257	0.25257
0066	sample_0066_summary.txt	97.2453	98.0652	1.93479	2.75472	2485358710	2598347289	1533671032	1603394292	951687677	994952997	45.7638	93.7577	0.293741	0.293741
0067	sample_0067_summary.txt	97.2103	97.8896	2.11042	2.78974	2483680358	2581444587	1527516218	1587643297	956164140	993801290	46.2545	94.5195	0.282746	0.282746
0068	sample_0068_summary.txt	97.1839	97.7569	2.24314	2.81609	2481415250	2568452119	1521998943	1575383809	959416307	993068310	46.682	95.1457	0.274897	0.274897
0069	sample_0069_summary.txt	97.1664	97.6573	2.34272	2.8336	2474774091	2553938884	1512993730	1561392424	961780361	992546460	46.309	95.1446	0.277467	0.277467
0070	sample_0070_summary.txt	97.1524	97.5775	2.4225	2.84758	2472950861	2546211759	1509485519	1554203862	963465342	992007897	46.648	95.6065	0.271991	0.271991
0071	sample_0071_summary.txt	97.1444	97.5173	2.48271	2.8556	2471161934	2540101700	1506388975	1548413782	964772959	991687918	46.9496	95.988	0.268084	0.268084
0072	sample_0072_summary.txt	97.1369	97.4668	2.53323	2.86315	2469152282	2534717992	1503315666	1543234613	965836616	991483379	47.2365	96.3323	0.264941	0.264941
0073	sample_0073_summary.txt	97.1311	97.4255	2.57452	2.86889	2466973722	2529827570	1500314822	1538540020	966658901	991287550	47.5035	96.6337	0.262571	0.262571
0074	sample_0074_summary.txt	97.1287	97.3941	2.60586	2.87125	2463378363	2524027223	1496048121	1532881121	967330242	991146103	46.9558	96.2066	0.264433	0.264433
0075	sample_0075_summary.txt	97.1622	97.5309	2.46908	2.83777	2463722010	2527684012	1498126174	1537019827	965595836	990664185	46.8538	95.7227	0.272162	0.272162
