Index	Filename	Homozygous (aa) min	Homozygous (aa) max	Heterozygous (ab) min	Heterozygous (ab) max	Genome Haploid Length min	Genome Haploid Length max	Genome Repeat Length min	Genome Repeat Length max	Genome Unique Length min	Genome Unique Length max	Model Fit min	Model Fit max	Read Error Rate min	Read Error Rate max
0001	sample_0001_summary.txt	94.6223	95.5362	4.46383	5.37774	2556980	2657236	1883415	1957262	673564	699974	45.0853	86.9942	7.37784	7.37784
0002	sample_0002_summary.txt	95.037	95.7498	4.25016	4.96299	6391660	6631136	4868593	5051005	1523067	1580131	41.5834	87.4795	6.40438	6.40438
0003	sample_0003_summary.txt	94.8975	95.6963	4.30373	5.1025	10514572	10905727	8118890	8420923	2395681	2484804	39.2318	85.937	5.8944	5.8944
0004	sample_0004_summary.txt	94.9126	95.7177	4.28233	5.08741	15223708	15830341	11791437	12261302	3432271	3569040	38.1076	85.8153	5.53845	5.53845
0005	sample_0005_summary.txt	94.9297	95.7252	4.27484	5.0703	19999623	20797169	15535577	16155106	4464046	4642063	37.6495	86.2878	5.27917	5.27917
0006	sample_0006_summary.txt	94.9182	95.7383	4.26169	5.0818	24920012	25930025	19459465	20248161	5460547	5681864	37.3787	86.8413	5.07238	5.07238
0007	sample_0007_summary.txt	94.9309	95.7651	4.23487	5.06909	29853175	31081412	23407160	24370191	6446015	6711220	37.1857	87.2621	4.91155	4.91155
0008	sample_0008_summary.txt	94.9869	95.8085	4.19149	5.0131	34822172	36270298	27383865	28522660	7438307	7747639	36.9517	87.489	4.77504	4.77504
0009	sample_0009_summary.txt	95.0395	95.8532	4.14681	4.96049	39746351	41425664	31325775	32649313	8420576	8776351	36.3829	86.8332	4.6657	4.6657
0010	sample_0010_summary.txt	95.0775	95.8929	4.1071	4.92251	44574067	46482768	35217127	36725156	9356939	9757612	36.4073	87.2898	4.57826	4.57826
0011	sample_0011_summary.txt	95.1184	95.9335	4.06648	4.88163	49285778	51422892	39007300	40698722	10278478	10724170	36.5319	87.6269	4.51064	4.51064
0012	sample_0012_summary.txt	95.1596	95.9735	4.02653	4.84038	53937685	56304250	42748646	44624282	11189038	11679968	36.6606	87.8657	4.45375	4.45375
0013	sample_0013_summary.txt	95.2063	96.0134	3.98662	4.79373	58996811	61613568	46888817	48968533	12107994	12645035	36.5467	88.0127	4.38911	4.38911
0014	sample_0014_summary.txt	95.266	96.0532	3.94677	4.73401	64301008	67162739	51254571	53535667	13046438	13627072	36.2934	87.9781	4.32547	4.32547
0015	sample_0015_summary.txt	95.3212	96.0867	3.9133	4.67877	69787433	72892513	55782546	58264500	14004888	14628013	35.9608	87.8001	4.26418	4.26418
0016	sample_0016_summary.txt	95.3777	96.1146	3.88537	4.62229	75403215	78721254	60427842	63086907	14975372	15634348	35.6241	87.5923	4.2068	4.2068
0017	sample_0017_summary.txt	93.8536	95.1324	4.86763	6.14644	219739408	226545834	176913952	182393860	42825456	44151974	31.1512	79.4636	3.0664	3.0664
0018	sample_0018_summary.txt	93.329	94.935	5.06498	6.67097	242793184	250119987	192833076	198652225	49960109	51467762	31.2831	78.9057	2.92394	2.92394
0019	sample_0019_summary.txt	92.7729	94.7845	5.21548	7.22715	266335798	274262248	208112522	214306183	58223276	59956065	31.5946	78.6303	2.78266	2.78266
0020	sample_0020_summary.txt	92.2001	94.692	5.308	7.79989	290268610	298898506	222834116	229459136	67434494	69439370	31.9743	78.4293	2.64442	2.64442
