Index	Filename	Homozygous (aa) min	Homozygous (aa) max	Heterozygous (ab) min	Heterozygous (ab) max	Genome Haploid Length min	Genome Haploid Length max	Genome Repeat Length min	Genome Repeat Length max	Genome Unique Length min	Genome Unique Length max	Model Fit min	Model Fit max	Read Error Rate min	Read Error Rate max
0001	sample_0001_summary.txt	94.7303	95.5121	4.48787	5.26974	899733	928241	673548	694890	226185	233352	43.2519	86.3768	8.25035	8.25035
0002	sample_0002_summary.txt	95.045	95.6629	4.33715	4.95497	2295966	2390730	1681876	1751294	614090	639436	41.3875	87.489	7.20608	7.20608
0003	sample_0003_summary.txt	94.5536	95.4732	4.52681	5.44642	3861668	3998241	2973903	3079078	887766	919162	40.5187	87.7869	6.63524	6.63524
0004	sample_0004_summary.txt	94.7578	95.5696	4.43037	5.24221	5434242	5633554	4157451	4309934	1276791	1323620	39.0467	85.2353	6.28493	6.28493
0005	sample_0005_summary.txt	94.871	95.6392	4.36083	5.12897	7180133	7461578	5481001	5695844	1699132	1765734	38.7466	86.0992	6.00848	6.00848
0006	sample_0006_summary.txt	94.8959	95.6805	4.31948	5.10411	9060749	9423919	6981088	7260901	2079661	2163017	38.513	87.3184	5.77811	5.77811
0007	sample_0007_summary.txt	94.957	95.7255	4.27446	5.04297	10924585	11353255	8479573	8812303	2445011	2540951	38.3287	87.7926	5.59966	5.59966
0008	sample_0008_summary.txt	95.0123	95.7724	4.22763	4.98769	12759165	13258609	9950518	10340021	2808646	2918588	38.0797	87.8016	5.45518	5.45518
0009	sample_0009_summary.txt	95.0314	95.8084	4.19163	4.96865	14569800	15144701	11423529	11874284	3146271	3270418	37.3701	87.0478	5.334	5.334
0010	sample_0010_summary.txt	95.0652	95.8484	4.15162	4.9348	16361883	17012752	12881092	13393497	3480790	3619255	37.2244	87.4352	5.23286	5.23286
0011	sample_0011_summary.txt	95.1003	95.8918	4.10817	4.89968	18096772	18828615	14286518	14864272	3810254	3964343	37.2064	87.7954	5.15559	5.15559
0012	sample_0012_summary.txt	95.1387	95.9374	4.0626	4.86132	19648514	20460951	15509330	16150617	4139185	4310334	37.5343	88.1398	5.11715	5.11715
0013	sample_0013_summary.txt	95.165	95.9794	4.0206	4.83503	21037350	21929107	16581552	17284431	4455798	4644676	37.6241	87.4124	5.10423	5.10423
0014	sample_0014_summary.txt	95.2011	96.0258	3.97417	4.79892	22609104	23594880	17831120	18608572	4777984	4986308	37.7766	87.45	5.07264	5.07264
0015	sample_0015_summary.txt	95.2487	96.07	3.93	4.75134	24422196	25508919	19316671	20176212	5105525	5332707	37.5408	87.5077	5.01917	5.01917
0016	sample_0016_summary.txt	95.2969	96.1098	3.89019	4.70313	26290340	27475802	20861490	21802159	5428850	5673643	37.2469	87.543	4.96593	4.96593
0017	sample_0017_summary.txt	95.3685	96.1499	3.85006	4.63154	28219340	29491394	22454190	23466367	5765150	6025028	36.9465	87.6014	4.91572	4.91572
0018	sample_0018_summary.txt	95.4287	96.1839	3.81612	4.57129	30166145	31520226	24073410	25154004	6092735	6366223	36.6674	87.6458	4.8698	4.8698
0019	sample_0019_summary.txt	95.493	96.2149	3.78511	4.507	32161060	33586191	25736175	26876605	6424885	6709587	36.345	87.5747	4.8262	4.8262
0020	sample_0020_summary.txt	95.5371	96.2362	3.76376	4.46288	34143308	35636001	27394800	28592458	6748508	7043542	36.0615	87.5486	4.78584	4.78584
0021	sample_0021_summary.txt	95.5629	96.2508	3.74915	4.43707	36166971	37734224	29104526	30365737	7062445	7368487	35.7204	87.3643	4.7465	4.7465
0022	sample_0022_summary.txt	95.5774	96.2582	3.74179	4.42263	38219156	39858783	30843191	32166385	7375964	7692398	35.4122	87.1845	4.70938	4.70938
0023	sample_0023_summary.txt	95.5744	96.2568	3.74323	4.42563	40277092	41988618	32604241	33989718	7672851	7998900	35.1138	87.0008	4.67441	4.67441
0024	sample_0024_summary.txt	92.5307	94.7812	5.2188	7.46934	126705368	130383518	99219122	102099370	27486246	28284149	30.4439	76.9427	3.35171	3.35171
0025	sample_0025_summary.txt	91.9161	94.72	5.28003	8.08389	136339304	140259427	104941784	107959143	31397520	32300284	30.6373	76.4022	3.23101	3.23101
0026	sample_0026_summary.txt	91.2701	94.7225	5.27751	8.72994	147564793	151804769	111875564	115090083	35689228	36714686	32.0242	76.1516	3.06746	3.06746
0027	sample_0027_summary.txt	90.5973	94.7898	5.21024	9.40275	157698384	162260471	117353231	120748165	40345153	41512305	32.5698	76.3175	2.95009	2.95009
0028	sample_0028_summary.txt	89.9119	94.9188	5.08124	10.0881	167942312	172866455	122671911	126268705	45270401	46597749	33.2161	76.6751	2.83584	2.83584
0029	sample_0029_summary.txt	89.2321	95.0946	4.90544	10.7679	178314932	183631586	127877653	131690465	50437279	51941122	33.9523	77.2165	2.7248	2.7248
