Index	Filename	Homozygous (aa) min	Homozygous (aa) max	Heterozygous (ab) min	Heterozygous (ab) max	Genome Haploid Length min	Genome Haploid Length max	Genome Repeat Length min	Genome Repeat Length max	Genome Unique Length min	Genome Unique Length max	Model Fit min	Model Fit max	Read Error Rate min	Read Error Rate max
0001	sample_0001_summary.txt	95.1025	96.1199	3.88015	4.89749	6527124	6841134	5184667	5434093	1342457	1407041	37.5001	86.3814	4.0798	4.0798
0002	sample_0002_summary.txt	95.4521	96.352	3.64798	4.54794	14470545	15175234	11974596	12557737	2495949	2617497	33.3086	87.5786	3.50623	3.50623
0003	sample_0003_summary.txt	95.3628	96.3912	3.60884	4.63722	22150394	23295125	18616744	19578856	3533650	3716269	30.4858	85.7744	3.23848	3.23848
0004	sample_0004_summary.txt	95.381	96.4077	3.59226	4.61897	30694466	32370604	25980995	27399744	4713471	4970860	28.6428	85.5915	3.04677	3.04677
0005	sample_0005_summary.txt	95.416	96.3907	3.60935	4.58397	39815703	41952326	33939656	35760953	5876047	6191372	27.6999	86.4602	2.89846	2.89846
0006	sample_0006_summary.txt	95.374	96.3576	3.64244	4.62598	48833018	51418582	41833233	44048179	6999785	7370403	26.837	85.9792	2.78638	2.78638
0007	sample_0007_summary.txt	95.3443	96.3257	3.67429	4.6557	58225281	61286515	50014308	52643845	8210973	8642670	26.4	86.3597	2.68725	2.68725
0008	sample_0008_summary.txt	95.3417	96.2913	3.70871	4.65834	68159229	71700642	58590660	61634910	9568569	10065732	25.6299	85.464	2.59571	2.59571
0009	sample_0009_summary.txt	95.3252	96.2517	3.74827	4.6748	78153289	82150968	67182757	70619273	10970532	11531694	25.1285	84.9596	2.51659	2.51659
0010	sample_0010_summary.txt	95.2849	96.2084	3.79155	4.71515	88045228	92480467	75688040	79500792	12357188	12979676	24.8813	84.959	2.44721	2.44721
0011	sample_0011_summary.txt	95.2219	96.1667	3.83325	4.77808	97746861	102632350	84057793	88259088	13689068	14373262	24.7451	85.1397	2.3851	2.3851
0012	sample_0012_summary.txt	95.1555	96.1336	3.86641	4.84448	107089382	112443761	92104920	96710089	14984462	15733672	24.664	85.2144	2.33159	2.33159
0013	sample_0013_summary.txt	95.093	96.1107	3.8893	4.90704	115686872	121505791	99451221	104453505	16235651	17052286	24.7769	85.4976	2.29072	2.29072
0014	sample_0014_summary.txt	95.0394	96.0982	3.90182	4.96056	124038211	130340472	106578147	111993279	17460064	18347192	24.908	85.7833	2.25371	2.25371
0015	sample_0015_summary.txt	94.9988	96.0954	3.90456	5.0012	132366042	139185535	113688335	119545553	18677707	19639982	25.0315	86.1564	2.21771	2.21771
0016	sample_0016_summary.txt	94.963	96.1009	3.89912	5.03705	140398993	147752649	120550435	126864486	19848558	20888162	25.1721	86.5914	2.18542	2.18542
0017	sample_0017_summary.txt	94.937	96.1147	3.88533	5.06304	148216700	156122996	127228788	134015529	20987913	22107467	24.9883	86.0434	2.1569	2.1569
0018	sample_0018_summary.txt	94.9159	96.1347	3.86526	5.08409	155974631	164465669	133872611	141160447	22102020	23305223	25.1309	86.5444	2.12967	2.12967
0019	sample_0019_summary.txt	94.8973	96.162	3.838	5.10272	163586455	172708298	140397863	148226673	23188592	24481625	25.26	86.9894	2.10491	2.10491
0020	sample_0020_summary.txt	94.8781	96.1947	3.80534	5.12187	171097369	180885946	146854952	155256607	24242417	25629339	25.3887	87.4042	2.08255	2.08255
