Index	Filename	Homozygous (aa) min	Homozygous (aa) max	Heterozygous (ab) min	Heterozygous (ab) max	Genome Haploid Length min	Genome Haploid Length max	Genome Repeat Length min	Genome Repeat Length max	Genome Unique Length min	Genome Unique Length max	Model Fit min	Model Fit max	Read Error Rate min	Read Error Rate max
0001	sample_0001_summary.txt	94.733	95.5281	4.47191	5.26698	3037915	3145057	2234945	2313768	802970	831289	45.6095	87.3717	5.76297	5.76297
0002	sample_0002_summary.txt	94.9214	95.6905	4.30953	5.07857	7287873	7569493	5476212	5687825	1811661	1881667	42.3862	87.6511	4.79445	4.79445
0003	sample_0003_summary.txt	94.9884	95.8708	4.12919	5.01157	11490290	11976019	8855439	9229785	2634851	2746234	41.1675	88.7428	4.35019	4.35019
0004	sample_0004_summary.txt	95.3589	96.1311	3.86894	4.64111	16040954	16770031	12535274	13105014	3505680	3665017	39.0323	87.7058	4.06616	4.06616
0005	sample_0005_summary.txt	95.549	96.2507	3.74933	4.45105	20718277	21621565	16471391	17189521	4246886	4432044	37.8624	88.6146	3.86204	3.86204
0006	sample_0006_summary.txt	95.5181	96.2742	3.72585	4.48187	25133841	26207866	20321262	21189635	4812579	5018232	36.5392	88.1095	3.71357	3.71357
0007	sample_0007_summary.txt	95.4243	96.2923	3.70775	4.57567	29178272	30456504	23867430	24913007	5310842	5543497	35.4538	87.372	3.60619	3.60619
0008	sample_0008_summary.txt	95.3115	96.3282	3.6718	4.68849	32702591	34211840	26914884	28157026	5787706	6054813	34.9143	86.7522	3.54681	3.54681
0009	sample_0009_summary.txt	95.1722	96.389	3.61102	4.82779	35965252	37747440	29715883	31188395	6249369	6559045	34.835	87.0337	3.50607	3.50607
0010	sample_0010_summary.txt	95.0255	96.4806	3.51944	4.97454	39545892	41671618	32827884	34592495	6718008	7079124	33.95	86.1422	3.44971	3.44971
0011	sample_0011_summary.txt	94.8746	96.6029	3.39708	5.1254	43283605	45813841	36093021	38202915	7190585	7610926	33.3674	86.1892	3.39567	3.39567
0012	sample_0012_summary.txt	94.7237	96.7403	3.25966	5.27632	47033543	50000131	39378650	41862413	7654894	8137718	32.5621	85.3395	3.35072	3.35072
