Index	Filename	Homozygous (aa) min	Homozygous (aa) max	Heterozygous (ab) min	Heterozygous (ab) max	Genome Haploid Length min	Genome Haploid Length max	Genome Repeat Length min	Genome Repeat Length max	Genome Unique Length min	Genome Unique Length max	Model Fit min	Model Fit max	Read Error Rate min	Read Error Rate max
0001	sample_0001_summary.txt	94.3763	95.5567	4.4433	5.62374	2359755	2465193	1849517	1932156	510238	533037	34.3516	81.4919	7.19675	7.19675
0002	sample_0002_summary.txt	94.402	95.4832	4.51681	5.59796	5940373	6223800	4619180	4839570	1321193	1384230	36.6342	88.8779	6.2558	6.2558
0003	sample_0003_summary.txt	94.8992	95.6558	4.34421	5.10085	9681286	10066016	7570948	7871815	2110337	2194201	36.5509	88.4341	5.79473	5.79473
0004	sample_0004_summary.txt	94.9266	95.7231	4.27686	5.07342	13387848	13909353	10584975	10997298	2802873	2912055	36.2182	87.7053	5.52178	5.52178
0005	sample_0005_summary.txt	95.0601	95.8188	4.18122	4.9399	16837519	17492137	13309015	13826449	3528505	3665688	36.1684	86.9712	5.36528	5.36528
0006	sample_0006_summary.txt	95.1291	95.8993	4.10069	4.87094	20053203	20872220	15798256	16443492	4254947	4428728	36.98	87.1707	5.292	5.292
0007	sample_0007_summary.txt	95.2311	95.9786	4.0214	4.76893	24087205	25094884	19100371	19899427	4986834	5195456	36.3799	87.5255	5.13834	5.13834
0008	sample_0008_summary.txt	95.3061	96.0371	3.9629	4.69386	28202663	29388689	22516203	23463093	5686459	5925596	35.8669	87.7661	5.0129	5.0129
0009	sample_0009_summary.txt	95.3695	96.0794	3.92064	4.63054	32423016	33777337	26028097	27115300	6394919	6662037	35.3241	87.5812	4.90876	4.90876
0010	sample_0010_summary.txt	95.4031	96.1015	3.89853	4.59685	36692247	38208775	29590004	30812988	7102243	7395786	34.8417	87.3274	4.81996	4.81996
0011	sample_0011_summary.txt	93.3571	94.9249	5.07514	6.64293	118219541	121755335	94204398	97021930	24015142	24733404	30.2041	77.1984	3.554	3.554
0012	sample_0012_summary.txt	92.0204	94.6426	5.35744	7.97961	142588222	146535013	109715627	112752515	32872596	33782497	31.5205	74.9631	3.2103	3.2103
0013	sample_0013_summary.txt	90.3503	94.7064	5.29359	9.64974	166954476	171458527	122252609	125550706	44701867	45907822	32.8102	74.9026	2.91228	2.91228
0014	sample_0014_summary.txt	88.5361	95.1553	4.84474	11.4639	191888547	197059567	133653952	137255663	58234595	59803903	34.7005	76.2322	2.62638	2.62638
0015	sample_0015_summary.txt	86.7864	95.8522	4.14783	13.2136	216214338	222086164	143959069	147868627	72255269	74217537	36.8696	78.1958	2.37059	2.37059
0016	sample_0016_summary.txt	85.2648	96.6097	3.3903	14.7352	238583841	245043140	153044925	157188386	85538916	87854753	39.0085	80.2203	2.15649	2.15649
0017	sample_0017_summary.txt	83.9469	97.3643	2.63568	16.0531	259089472	266035966	161173823	165495083	97915649	100540883	40.9968	82.0666	1.97761	1.97761
0018	sample_0018_summary.txt	82.7968	98.0898	1.91017	17.2032	275987228	283234158	166744827	171123248	109242401	112110911	41.2491	82.8707	1.85408	1.85408
0019	sample_0019_summary.txt	82.7603	98.1035	1.89651	17.2397	271403697	278241790	164179778	168316334	107223919	109925457	41.0277	82.5973	1.89366	1.89366
0020	sample_0020_summary.txt	81.6816	98.8439	1.15607	18.3184	286351482	293318621	169642205	173769723	116709277	119548898	42.688	83.99	1.7778	1.7778
0021	sample_0021_summary.txt	80.5509	99.6836	0.316447	19.4491	300616341	307734401	174734845	178872255	125881496	128862146	44.1269	85.0712	1.67421	1.67421
0022	sample_0022_summary.txt	79.2206	100	0	20.7794	314466728	321855253	179212544	183423216	135254184	138432036	43.777	84.6887	1.58512	1.58512
0023	sample_0023_summary.txt	95.8247	95.9614	4.03862	4.17535	766357268	789323803	380365890	391764864	385991377	397558938	62.2542	97.3437	0.213659	0.213659
0024	sample_0024_summary.txt	95.8344	95.9615	4.0385	4.16556	765800070	786280727	378825354	388956709	386974716	397324018	62.193	97.6376	0.214554	0.214554
0025	sample_0025_summary.txt	95.8437	95.9636	4.03641	4.15629	764818238	783101660	377017668	386030493	387800570	397071167	62.3962	97.2139	0.215499	0.215499
0026	sample_0026_summary.txt	95.9106	96.4032	3.59682	4.08937	768347525	788562724	385157317	395290794	383190208	393271930	61.4668	95.732	0.213973	0.213973
0027	sample_0027_summary.txt	95.8503	96.1869	3.81313	4.14966	763931134	781579249	377391191	386109573	386539943	395469676	62.451	96.632	0.215966	0.215966
0028	sample_0028_summary.txt	95.8865	96.3049	3.69507	4.11348	764333802	781224249	379198869	387578504	385134933	393645745	62.1323	96.2374	0.216124	0.216124
0029	sample_0029_summary.txt	95.846	96.1459	3.85406	4.15395	761353571	776609768	373479762	380963645	387873808	395646123	62.6653	96.7107	0.217442	0.217442
0030	sample_0030_summary.txt	95.8376	96.0645	3.93545	4.16238	759649347	773771680	370215011	377097528	389434336	396674152	62.9515	97.2725	0.218494	0.218494
0031	sample_0031_summary.txt	95.8379	96.0175	3.98252	4.16207	758456872	771683676	368012959	374430773	390443913	397252902	63.0649	96.8808	0.219167	0.219167
0032	sample_0032_summary.txt	95.8424	95.9907	4.00929	4.15761	757497014	769976750	366360407	372396181	391136607	397580569	62.9863	97.1162	0.219844	0.219844
0033	sample_0033_summary.txt	95.8485	95.9761	4.02395	4.15146	756582406	768472860	365038017	370774957	391544389	397697904	63.0813	97.3438	0.22044	0.22044
0034	sample_0034_summary.txt	95.8553	95.9688	4.0312	4.14474	755687853	767032494	363888124	369350935	391799729	397681559	63.1912	96.9928	0.220897	0.220897
0035	sample_0035_summary.txt	95.8505	95.975	4.02501	4.14945	754783404	765782694	362772023	368058619	392011381	397724075	63.2989	97.2591	0.221233	0.221233
0036	sample_0036_summary.txt	95.8567	95.9683	4.03171	4.14325	753735477	764249209	361502154	366544687	392233324	397704522	63.2736	96.8919	0.221811	0.221811
0037	sample_0037_summary.txt	95.8623	95.965	4.03501	4.13765	752899407	762948401	360407907	365218293	392491500	397730108	63.3895	97.1524	0.22228	0.22228
0038	sample_0038_summary.txt	95.8683	95.9645	4.03548	4.13174	752028774	761614466	359267764	363847150	392761011	397767317	63.5074	96.8297	0.22266	0.22266
0039	sample_0039_summary.txt	95.8729	95.9645	4.03546	4.12707	751065759	760203869	358108062	362465112	392957697	397738758	63.6267	97.0982	0.222981	0.222981
0040	sample_0040_summary.txt	95.8766	95.9647	4.03527	4.12341	750119314	758823424	356978408	361120655	393140906	397702769	63.6233	96.7702	0.22346	0.22346
0041	sample_0041_summary.txt	95.8791	95.9645	4.03547	4.12091	749096290	757365122	355820044	359747732	393276246	397617391	63.7457	97.0362	0.223899	0.223899
0042	sample_0042_summary.txt	95.8756	95.9627	4.03725	4.12442	748206001	756414415	354687311	358578512	393518690	397835903	63.8287	96.6916	0.224279	0.224279
0043	sample_0043_summary.txt	95.8796	95.964	4.03596	4.12038	747235472	755060607	353601427	357304381	393634045	397756225	63.8405	96.946	0.224608	0.224608
0044	sample_0044_summary.txt	95.8831	95.9653	4.03468	4.11686	746146769	753592436	352434368	355951248	393712401	397641188	63.9639	96.6599	0.225125	0.225125
0045	sample_0045_summary.txt	95.8857	95.966	4.034	4.11432	745107008	752184374	351325832	354662885	393781176	397521490	64.0817	96.9118	0.225573	0.225573
0046	sample_0046_summary.txt	95.8883	95.967	4.03298	4.11171	744066916	750789278	350204026	353367986	393862890	397421292	64.1923	97.1394	0.225947	0.225947
0047	sample_0047_summary.txt	95.8907	95.9681	4.03192	4.10929	743035488	749421811	349116408	352117032	393919080	397304779	64.2013	96.8638	0.226374	0.226374
0048	sample_0048_summary.txt	95.8935	95.9696	4.03037	4.10652	742033546	748097345	348088489	350933022	393945057	397164323	64.312	97.0889	0.226826	0.226826
0049	sample_0049_summary.txt	95.891	95.9675	4.03253	4.10901	741488504	747631366	347269213	350146165	394219291	397485201	64.3842	96.7881	0.227084	0.227084
0050	sample_0050_summary.txt	95.8938	95.969	4.03099	4.10624	740607965	746457902	346333323	349068951	394274642	397388951	64.4809	97.0109	0.227397	0.227397
0051	sample_0051_summary.txt	95.8962	95.9704	4.02961	4.10376	739685393	745256142	345385303	347986483	394300090	397269659	64.4842	96.7406	0.227829	0.227829
0052	sample_0052_summary.txt	95.8986	95.9718	4.02822	4.10138	738789450	744093341	344506785	346980056	394282665	397113285	64.5678	96.9434	0.228234	0.228234
0053	sample_0053_summary.txt	95.9003	95.9725	4.02749	4.09975	737920229	742972339	343649170	346001936	394271059	396970404	64.6552	96.6979	0.228561	0.228561
0054	sample_0054_summary.txt	95.9024	95.9739	4.02614	4.09757	736971458	741788300	342731793	344971887	394239665	396816413	64.6509	96.8847	0.228999	0.228999
0055	sample_0055_summary.txt	95.9044	95.9751	4.02493	4.09557	736068029	740662111	341891097	344024970	394176932	396637141	64.7381	96.6363	0.229413	0.229413
0056	sample_0056_summary.txt	95.9022	95.9729	4.02707	4.09776	735651132	740350682	341165335	343344796	394485798	397005886	64.8163	96.8184	0.229544	0.229544
