Index	Filename	Homozygous (aa) min	Homozygous (aa) max	Heterozygous (ab) min	Heterozygous (ab) max	Genome Haploid Length min	Genome Haploid Length max	Genome Repeat Length min	Genome Repeat Length max	Genome Unique Length min	Genome Unique Length max	Model Fit min	Model Fit max	Read Error Rate min	Read Error Rate max
0001	sample_0001_summary.txt	95.0584	95.7393	4.26067	4.94159	6141179	6346436	4483535	4633388	1657645	1713048	48.285	87.7181	4.34113	4.34113
0002	sample_0002_summary.txt	94.4959	96.4802	3.51983	5.50408	11918469	12571947	9199731	9704142	2718739	2867805	44.2214	87.9158	3.71037	3.71037
0003	sample_0003_summary.txt	-100	-100	-100	-100	-1	-1	-1	-1	-1	-1	0	0	-100	-100
0004	sample_0004_summary.txt	-100	-100	-100	-100	-1	-1	-1	-1	-1	-1	0	0	-100	-100
0005	sample_0005_summary.txt	-100	-100	-100	-100	-1	-1	-1	-1	-1	-1	0	0	-100	-100
0006	sample_0006_summary.txt	87.2249	100	0	12.7751	60951772	102598895	55512048	93442318	5439724	9156578	22.7184	70.9629	2.7401	2.7401
0007	sample_0007_summary.txt	0	100	0	100	96395	Inf	62925	Inf	33470	Inf	36.7773	2.24013	0.425066	0.425066
0008	sample_0008_summary.txt	0	100	0	100	7784	Inf	7376	Inf	408	Inf	34.115	2.28999	0.385702	0.385702
0009	sample_0009_summary.txt	0	100	0	100	8370	Inf	7886	Inf	485	Inf	32.8144	2.38955	0.356013	0.356013
0010	sample_0010_summary.txt	0	100	0	100	9294	Inf	8197	Inf	1096	Inf	31.5752	2.51404	0.333367	0.333367
0011	sample_0011_summary.txt	0	100	0	100	106881	Inf	86645	Inf	20237	Inf	25.8956	1.93656	0.318364	0.318364
0012	sample_0012_summary.txt	0	100	0	100	1655549	Inf	1417225	Inf	238324	Inf	20.5878	1.18844	0.306752	0.306752
0013	sample_0013_summary.txt	93.0053	98.7503	1.2497	6.99467	74542785	84680426	67669165	76872010	6873620	7808416	20.3189	79.4377	2.89779	2.89779
0014	sample_0014_summary.txt	94.9687	97.0285	2.97152	5.03131	91322138	99042167	82675798	89664898	8646340	9377269	19.0339	81.4077	2.82928	2.82928
0015	sample_0015_summary.txt	95.1644	96.7973	3.2027	4.83558	103434576	111559442	93533167	100880271	9901409	10679172	18.329	81.8239	2.78115	2.78115
0016	sample_0016_summary.txt	95.2151	96.6741	3.32586	4.78487	114729572	123392957	103648673	111475324	11080899	11917632	18.169	83.5277	2.73934	2.73934
0017	sample_0017_summary.txt	95.2102	96.5868	3.41323	4.78984	125330628	134551328	113118939	121441212	12211690	13110116	17.6905	82.826	2.70554	2.70554
0018	sample_0018_summary.txt	95.1751	96.5128	3.48721	4.82489	135744517	145543552	122418339	131255393	13326178	14288159	17.5974	83.4792	2.67319	2.67319
0019	sample_0019_summary.txt	95.1235	96.4453	3.55467	4.8765	146164612	156556766	131717062	141082010	14447550	15474756	17.5924	84.2077	2.64126	2.64126
0020	sample_0020_summary.txt	95.0637	96.3833	3.61666	4.93634	156583412	167574518	141011933	150910025	15571480	16664493	17.3837	83.8784	2.61122	2.61122
0021	sample_0021_summary.txt	95.0057	96.3244	3.6756	4.99431	167020719	178568146	150303112	160694722	16717607	17873423	17.222	83.5846	2.58213	2.58213
0022	sample_0022_summary.txt	93.376	95.2039	4.79612	6.62401	450103335	471268747	393285879	411779538	56817455	59489208	18.587	80.5338	1.86651	1.86651
0023	sample_0023_summary.txt	93.0143	95.0703	4.92972	6.98566	484505771	505581238	420249627	438530023	64256143	67051215	18.8907	80.0255	1.79166	1.79166
0024	sample_0024_summary.txt	92.6097	94.9584	5.0416	7.39027	521168724	542234649	448652793	466787585	72515931	75447065	20.0962	79.3747	1.69036	1.69036
0025	sample_0025_summary.txt	92.1809	94.8769	5.12314	7.81912	553935462	574932081	472454298	490362418	81481164	84569663	20.6163	79.4608	1.61725	1.61725
0026	sample_0026_summary.txt	92.4735	94.9186	5.08136	7.52653	533676829	554537679	457686144	475576601	75990685	78961079	20.2575	79.4744	1.67203	1.67203
0027	sample_0027_summary.txt	92.0601	94.8494	5.15059	7.93987	564551439	585333689	479784591	497446406	84766848	87887283	20.7382	79.493	1.60264	1.60264
0028	sample_0028_summary.txt	91.6397	94.8109	5.18914	8.36025	594218636	615033531	500212582	517734537	94006054	97298994	21.2457	79.59	1.53567	1.53567
0029	sample_0029_summary.txt	91.2196	94.8011	5.19892	8.7804	622797756	643729486	519196149	536645911	103601608	107083574	21.7939	79.8409	1.47139	1.47139
0030	sample_0030_summary.txt	90.8095	94.8178	5.18215	9.19045	649973680	671104465	536669836	554117089	113303844	116987376	22.3716	80.2147	1.41076	1.41076
0031	sample_0031_summary.txt	90.4228	94.8548	5.14521	9.57723	675668176	697044941	552772182	570260768	122895994	126784173	22.9738	80.7008	1.35435	1.35435
0032	sample_0032_summary.txt	90.058	94.9082	5.09183	9.942	700105078	721758443	567774501	585335048	132330577	136423394	23.5897	81.2804	1.30179	1.30179
0033	sample_0033_summary.txt	89.7217	94.9719	5.02814	10.2783	720299815	742108087	578917646	596445338	141382169	145662749	23.094	81.0967	1.27087	1.27087
0034	sample_0034_summary.txt	89.4048	95.048	4.95197	10.5952	741920192	763985310	591798968	609399398	150121224	154585912	23.7082	81.7054	1.22585	1.22585
0035	sample_0035_summary.txt	89.1192	95.1235	4.87645	10.8808	762114252	784359877	603659849	621280292	158454403	163079585	24.3196	82.3368	1.18482	1.18482
0036	sample_0036_summary.txt	88.8522	95.2055	4.79447	11.1478	780924568	803303680	614551476	632162800	166373092	171140879	24.9245	82.9758	1.14754	1.14754
0037	sample_0037_summary.txt	88.6063	95.2894	4.71061	11.3937	798243082	820669948	624423321	641966672	173819761	178703277	25.5164	83.5989	1.11403	1.11403
0038	sample_0038_summary.txt	88.3739	95.3767	4.62333	11.6261	814285280	836725073	633341238	650794637	180944043	185930436	26.1017	84.2118	1.08353	1.08353
0039	sample_0039_summary.txt	88.1535	95.4666	4.53336	11.8465	827759219	850091699	640121541	657391662	187637677	192700037	25.4653	83.3627	1.06319	1.06319
0040	sample_0040_summary.txt	87.9283	95.5704	4.42955	12.0717	841634981	863911878	647483619	664621601	194151363	199290277	26.0518	83.9712	1.0375	1.0375
0041	sample_0041_summary.txt	87.7155	95.6731	4.32688	12.2845	854637255	876850092	654211099	671214669	200426156	205635423	26.6133	84.5273	1.01388	1.01388
0042	sample_0042_summary.txt	87.9573	95.5318	4.46816	12.0427	828921288	850150605	637361382	653684702	191559905	196465903	26.0652	83.7993	1.05827	1.05827
0043	sample_0043_summary.txt	87.7586	95.624	4.37602	12.2414	840947991	862032323	643619077	659755959	197328914	202276365	26.611	84.3754	1.03591	1.03591
0044	sample_0044_summary.txt	87.5542	95.7275	4.27252	12.4458	852553073	873501868	649630302	665592912	202922771	207908956	27.124	84.8913	1.01477	1.01477
0045	sample_0045_summary.txt	87.3439	95.8412	4.15881	12.6561	863246793	884059402	654908613	670698255	208338179	213361147	26.4288	83.7168	0.997392	0.997392
0046	sample_0046_summary.txt	87.1258	95.967	4.03302	12.8742	874146785	894877173	660474568	676137720	213672217	218739453	26.917	84.2028	0.978306	0.978306
0047	sample_0047_summary.txt	86.8987	96.1055	3.89452	13.1013	885118616	905851797	666090141	681692759	219028476	224159039	27.3661	84.6097	0.959559	0.959559
0048	sample_0048_summary.txt	86.6474	96.269	3.73098	13.3526	895952332	916750953	671590799	687181095	224361534	229569858	27.7894	84.9745	0.941363	0.941363
0049	sample_0049_summary.txt	86.3816	96.4484	3.5516	13.6184	907059860	928056237	677188016	692863382	229871844	235192855	27.0104	83.4622	0.92307	0.92307
0050	sample_0050_summary.txt	86.0864	96.6587	3.34134	13.9136	918515332	939841122	682992752	698850255	235522580	240990867	27.3995	83.7497	0.904645	0.904645
0051	sample_0051_summary.txt	85.7609	96.8994	3.1006	14.2391	930229365	951991629	688932901	705050151	241296464	246941478	27.7578	83.984	0.886174	0.886174
0052	sample_0052_summary.txt	85.3999	97.1772	2.82277	14.6001	942669160	965064725	695304402	711823172	247364758	253241553	28.0901	84.1768	0.867097	0.867097
0053	sample_0053_summary.txt	96.8615	97.0198	2.98024	3.13853	1858368859	1900119670	1292472864	1321510043	565895996	578609627	38.4226	96.6878	0.330115	0.330115
0054	sample_0054_summary.txt	96.864	97.0192	2.98081	3.136	1846639469	1901650483	1282971123	1321190572	563668346	580459912	37.9127	96.7959	0.331471	0.331471
0055	sample_0055_summary.txt	96.8705	97.0207	2.97927	3.12952	1848539178	1889894165	1282648357	1311343398	565890820	578550767	38.1379	96.9823	0.332486	0.332486
0056	sample_0056_summary.txt	96.8752	97.022	2.97799	3.12484	1845774288	1885423891	1279373002	1306855577	566401287	578568314	38.3568	96.2776	0.333229	0.333229
0057	sample_0057_summary.txt	96.8794	97.0231	2.97689	3.12058	1842793782	1880884760	1275892544	1302265542	566901238	578619219	38.57	96.5206	0.334004	0.334004
0058	sample_0058_summary.txt	96.8831	97.0238	2.97621	3.11694	1839596450	1876243846	1272266514	1297611885	567329936	578631961	38.7761	96.7402	0.334818	0.334818
0059	sample_0059_summary.txt	96.9959	97.5195	2.48049	3.00408	1840025986	1896670284	1279278526	1318660489	560747460	578009795	36.6366	94.2743	0.35339	0.35339
0060	sample_0060_summary.txt	96.9569	97.3926	2.60743	3.04309	1834742521	1886774001	1272053480	1308127657	562689040	578646344	37.1178	95.0872	0.347638	0.347638
0061	sample_0061_summary.txt	96.9335	97.3043	2.69574	3.06651	1828783187	1877676149	1264669953	1298481211	564113234	579194938	36.7639	94.9502	0.347919	0.347919
0062	sample_0062_summary.txt	96.9155	97.2357	2.76429	3.08447	1824924829	1871461029	1259704629	1291827523	565220200	579633506	37.1501	95.5227	0.344465	0.344465
0063	sample_0063_summary.txt	96.904	97.1846	2.81537	3.09597	1821250332	1865940250	1255154323	1285953353	566096009	579986897	37.5045	96.0086	0.342303	0.342303
0064	sample_0064_summary.txt	96.8971	97.1463	2.85367	3.10287	1817405501	1860526958	1250577059	1280249416	566828442	580277542	37.015	95.4416	0.342288	0.342288
0065	sample_0065_summary.txt	96.8941	97.118	2.88204	3.10594	1814419290	1856213249	1246990472	1275714081	567428817	580499168	37.3343	95.8453	0.341071	0.341071
0066	sample_0066_summary.txt	96.8918	97.0951	2.9049	3.10819	1811443436	1852071342	1243464841	1271353856	567978595	580717486	39.6481	96.4868	0.340603	0.340603
0067	sample_0067_summary.txt	96.9063	97.1635	2.8365	3.09369	1809164796	1849389340	1241747407	1269356127	567417389	580033213	37.7553	96.067	0.343861	0.343861
0068	sample_0068_summary.txt	96.9012	97.1322	2.86778	3.09876	1806391908	1845426084	1238328679	1265087623	568063229	580338461	39.402	96.6294	0.342176	0.342176
0069	sample_0069_summary.txt	96.8966	97.106	2.89397	3.10338	1802962499	1840920085	1234324097	1260310196	568638402	580609888	39.631	96.1632	0.342704	0.342704
0070	sample_0070_summary.txt	96.8947	97.0864	2.91364	3.1053	1799697502	1836706550	1230601862	1255908006	569095640	580798544	39.8237	96.4256	0.343332	0.343332
0071	sample_0071_summary.txt	96.8942	97.0712	2.92882	3.10583	1796573583	1832706730	1227036148	1251714612	569537435	580992118	39.9988	96.6395	0.344007	0.344007
0072	sample_0072_summary.txt	96.8947	97.0595	2.94054	3.10533	1793475219	1828792308	1223581915	1247676674	569893303	581115634	40.1595	96.8136	0.344727	0.344727
0073	sample_0073_summary.txt	96.8959	97.0505	2.94949	3.10408	1790620959	1825174641	1220371421	1243920975	570249538	581253666	40.3107	96.2226	0.34542	0.34542
0074	sample_0074_summary.txt	96.8974	97.0435	2.95653	3.10258	1787739808	1821580452	1217186971	1240227455	570552837	581352996	40.457	96.4103	0.34612	0.34612
0075	sample_0075_summary.txt	96.8992	97.038	2.96201	3.10082	1784864547	1817987838	1214012767	1236542263	570851780	581445575	40.596	96.5786	0.346854	0.346854
0076	sample_0076_summary.txt	96.9011	97.0338	2.96622	3.09893	1781982932	1814424042	1210861339	1232905144	571121593	581518897	40.7341	96.7351	0.347573	0.347573
0077	sample_0077_summary.txt	96.903	97.0306	2.96944	3.097	1779167581	1810988880	1207794021	1229396020	571373560	581592861	40.8672	96.1531	0.348242	0.348242
0078	sample_0078_summary.txt	96.9	97.0415	2.95845	3.09997	1776248835	1807616859	1204735799	1226011073	571513036	581605785	41.0068	96.3515	0.348884	0.348884
0079	sample_0079_summary.txt	96.9014	97.0363	2.9637	3.09861	1773297565	1804066253	1201510231	1222357771	571787334	581708481	41.1343	96.5163	0.349556	0.349556
0080	sample_0080_summary.txt	96.9029	97.0322	2.96781	3.09709	1770422870	1800606546	1198384510	1218815589	572038360	581790957	41.2575	96.67	0.350221	0.350221
0081	sample_0081_summary.txt	96.9047	97.0291	2.9709	3.09534	1767582349	1797203777	1195299144	1215330159	572283205	581873618	41.0411	96.0459	0.350889	0.350889
0082	sample_0082_summary.txt	96.9064	97.0267	2.97328	3.09359	1764837249	1793919787	1192312024	1211959988	572525225	581959799	41.1709	96.2171	0.351594	0.351594
0083	sample_0083_summary.txt	96.9079	97.0247	2.97529	3.0921	1761796052	1790440346	1189134362	1208467992	572661691	581972354	41.2999	96.3846	0.352319	0.352319
0084	sample_0084_summary.txt	96.9092	97.023	2.97702	3.09084	1758713948	1786955824	1185910139	1204953786	572803809	582002038	41.4274	96.5421	0.352999	0.352999
0085	sample_0085_summary.txt	96.9108	97.022	2.97797	3.08918	1755773110	1783592116	1182836466	1201577688	572936644	582014427	41.5504	95.9904	0.35367	0.35367
0086	sample_0086_summary.txt	96.9121	97.0211	2.97892	3.08785	1752821513	1780233298	1179766918	1198216895	573054595	582016403	41.6703	96.1682	0.354316	0.354316
0087	sample_0087_summary.txt	96.9134	97.0203	2.97967	3.0866	1749812145	1776813027	1176665446	1194822256	573146698	581990771	41.7881	96.3338	0.35495	0.35495
0088	sample_0088_summary.txt	96.9085	97.0205	2.97947	3.09154	1746954607	1773817131	1173653731	1191700738	573300876	582116393	41.5976	96.4375	0.355587	0.355587
0089	sample_0089_summary.txt	96.9101	97.0196	2.98041	3.08995	1744011721	1770483906	1170606607	1188375130	573405115	582108775	41.721	96.582	0.356315	0.356315
0090	sample_0090_summary.txt	96.9117	97.019	2.98102	3.08835	1741219889	1767309685	1167719787	1185216469	573500102	582093216	41.8391	96.0661	0.356987	0.356987
0091	sample_0091_summary.txt	96.9133	97.0186	2.98135	3.08674	1738467287	1764187372	1164885730	1182119853	573581557	582067518	41.9564	96.2329	0.357633	0.357633
0092	sample_0092_summary.txt	96.915	97.0186	2.98137	3.08502	1735701822	1761044786	1162042159	1179009124	573659663	582035662	42.0712	96.3901	0.358268	0.358268
0093	sample_0093_summary.txt	96.9167	97.0188	2.98123	3.08334	1732965262	1757941157	1159208960	1175915747	573756302	582025410	42.1845	96.54	0.358868	0.358868
0094	sample_0094_summary.txt	96.9183	97.019	2.98102	3.08174	1730287669	1754896772	1156447014	1172894640	573840654	582002132	42.2931	96.0439	0.359455	0.359455
0095	sample_0095_summary.txt	96.9196	97.0191	2.98092	3.0804	1727534323	1751780429	1153620266	1169811434	573914058	581968995	42.129	96.1612	0.360086	0.360086
0096	sample_0096_summary.txt	96.9212	97.0195	2.98049	3.07884	1724798041	1748675967	1150813784	1166745531	573984257	581930436	42.2438	96.3134	0.360761	0.360761
0097	sample_0097_summary.txt	96.9224	97.0197	2.9803	3.07761	1722045709	1745562233	1148002901	1163680207	574042808	581882026	42.3559	96.4556	0.361409	0.361409
0098	sample_0098_summary.txt	96.9238	97.0202	2.97981	3.07618	1719341818	1742503329	1145229903	1160657467	574111915	581845863	42.4652	95.9692	0.362032	0.362032
0099	sample_0099_summary.txt	96.9191	97.0173	2.98267	3.08088	1717053932	1740268236	1142732297	1158181862	574321634	582086374	42.5657	96.1115	0.362593	0.362593
0100	sample_0100_summary.txt	96.9207	97.0178	2.98223	3.07934	1714267979	1737153289	1139898491	1155116024	574369489	582037265	42.674	96.2614	0.363213	0.363213
