Species	Accession number	Taxonomy
Hydra sinensis	JX089978	Eukaryota; Metazoa; Cnidaria; Hydrozoa; Hydroidolina; Anthoathecata; Aplanulata; Hydridae; Hydra
Cladonema multiramosum	MZ747707	Eukaryota; Metazoa; Cnidaria; Hydrozoa; Hydroidolina; Anthoathecata; Capitata; Cladonematidae; Cladonema
Spirocodon saltatrix	MT150265	Eukaryota; Metazoa; Cnidaria; Hydrozoa; Hydroidolina; Anthoathecata; Capitata; Polyorchidae; Spirocodon
Turritopsis lata	MW399220	Eukaryota; Metazoa; Cnidaria; Hydrozoa; Hydroidolina; Anthoathecata; Filifera; Oceaniidae; Turritopsis
Blackfordia virginica	MW376866	Eukaryota; Metazoa; Cnidaria; Hydrozoa; Hydroidolina; Leptothecata; Blackfordiidae; Blackfordia
Laomedea flexuosa	JN700945	Eukaryota; Metazoa; Cnidaria; Hydrozoa; Hydroidolina; Leptothecata; Obeliida; Obeliidae; Laomedea
Cubaia aphrodite	JN700942	Eukaryota; Metazoa; Cnidaria; Hydrozoa; Trachylinae; Limnomedusae; Olindiasidae; Cubaia
Craspedacusta sowerbii	JN593332	Eukaryota; Metazoa; Cnidaria; Hydrozoa; Trachylinae; Limnomedusae; Olindiidae; Craspedacusta
Cassiopea xamachana	JN700936	Eukaryota; Metazoa; Cnidaria; Scyphozoa; Rhizostomeae; Cassiopeidae; Cassiopea
Acromitus flagellatus	OM457248	Eukaryota; Metazoa; Cnidaria; Scyphozoa; Rhizostomeae; Catostylidae; Acromitus
Stomolophus sp. CG-2019	MK157198	Eukaryota; Metazoa; Cnidaria; Scyphozoa; Rhizostomeae; Stomolophidae; Stomolophus
Chrysaora quinquecirrha	HQ694730	Eukaryota; Metazoa; Cnidaria; Scyphozoa; Semaeostomeae; Pelagiidae; Chrysaora
Aurelia coerulea	MT023105	Eukaryota; Metazoa; Cnidaria; Scyphozoa; Semaeostomeae; Ulmaridae; Aurelia
Aurelia limbata	MK527107	Eukaryota; Metazoa; Cnidaria; Scyphozoa; Semaeostomeae; Ulmaridae; Aurelia
Aurelia aurita	HQ694729	Eukaryota; Metazoa; Cnidaria; Scyphozoa; Semaeostomeae; Ulmaridae; Aurelia
Haliclystus antarcticus	KU947038	Eukaryota; Metazoa; Cnidaria; Staurozoa; Stauromedusae; Myostaurida; Haliclystidae; Haliclystus
Haliclystus sanjuanensis	JN700944	Eukaryota; Metazoa; Cnidaria; Staurozoa; Stauromedusae; Myostaurida; Haliclystidae; Haliclystus
Lucernaria janetae	JN700946	Eukaryota; Metazoa; Cnidaria; Staurozoa; Stauromedusae; Myostaurida; Lucernariidae; Lucernaria
Alatina alata	KJ452776, KJ452777, KJ452778, KJ452779, KJ452780, KJ452781, KJ452782, KJ452783	Eukaryota; Metazoa; Cnidaria; Cubozoa; Carybdeida; Alatinidae; Alatina
Carybdea xaymacana	JN700977, JN700978, JN700979, JN700980, JN700981, JN700982, JN700983	Eukaryota; Metazoa; Cnidaria; Cubozoa; Carybdeida; Carybdeidae; Carybdea
Chironex fleckeri	JN700963, JN700964, JN700965, JN700966, JN700967, JN700968	Eukaryota; Metazoa; Cnidaria; Cubozoa; Chirodropida; Chirodropidae; Chironex
Chiropsalmus quadrumanus	JN700969, JN700970, JN700971, JN700972, JN700973, JN700974	Eukaryota; Metazoa; Cnidaria; Cubozoa; Chirodropida; Chiropsalmidae; Chiropsalmus
Entacmaea quadricolor	OP055895	Eukaryota; Metazoa; Cnidaria; Anthozoa; Hexacorallia; Actiniaria; Actiniidae; Entacmaea
Acanthoaxis wirtzi	OL616197	Eukaryota; Metazoa; Cnidaria; Anthozoa; Octocorallia; Alcyonacea; Acanthoaxiidae; Acanthoaxis
Acanthogorgia breviflora	OL616198	Eukaryota; Metazoa; Cnidaria; Anthozoa; Octocorallia; Alcyonacea; Holaxonia; Acanthogorgiidae; Acanthogorgia
Acrophytum claviger	OL616199	Eukaryota; Metazoa; Cnidaria; Anthozoa; Octocorallia; Alcyonacea; Alcyoniina; Acrophytidae; Acrophytum
Heliopora coerulea	OL616236	Eukaryota; Metazoa; Cnidaria; Anthozoa; Octocorallia; Helioporacea; Helioporidae; Heliopora
Nanipora cf. kamurai ANT79	OL616249	Eukaryota; Metazoa; Cnidaria; Anthozoa; Octocorallia; Helioporacea; Lithotelestidae; Nanipora
Balticina finmarchica	OL616235	Eukaryota; Metazoa; Cnidaria; Anthozoa; Octocorallia; Pennatulacea; Subselliflorae; Balticinidae; Balticina
Actinoptilum molle	OL616201	Eukaryota; Metazoa; Cnidaria; Anthozoa; Octocorallia; Pennatulacea; Sessiliflorae; Echinoptilidae; Actinoptilum
Distichoptilum gracile	OL616229	Eukaryota; Metazoa; Cnidaria; Anthozoa; Octocorallia; Pennatulacea; Sessiliflorae; Protoptilidae; Distichoptilum
Dendrophyllia minuscula	OL634845	Eukaryota; Metazoa; Cnidaria; Anthozoa; Hexacorallia; Scleractinia; Dendrophylliina; Dendrophylliidae; Dendrophyllia
Diploastrea heliopora	MT560600	Eukaryota; Metazoa; Cnidaria; Anthozoa; Hexacorallia; Scleractinia; Faviina; Diploastreidae; Diploastrea
Diadumene lineata	MH699974	Eukaryota; Metazoa; Cnidaria; Anthozoa; Hexacorallia; Actiniaria; Nynantheae; Diadumenidae; Diadumene
Paraphelliactis xishaensis	MT997141	Eukaryota; Metazoa; Cnidaria; Anthozoa; Hexacorallia; Actiniaria; Nynantheae; Hormathiidae; Paraphelliactis
Acropora palmata	MW246514	Eukaryota; Metazoa; Cnidaria; Anthozoa; Hexacorallia; Scleractinia; Astrocoeniina; Acroporidae; Acropora
Leiopathes expansa	MT318847	Eukaryota; Metazoa; Cnidaria; Anthozoa; Hexacorallia; Antipatharia; Antipathidae; Leiopathes
Tanacetipathes thamnea	MN265369	Eukaryota; Metazoa; Cnidaria; Anthozoa; Hexacorallia; Antipatharia; Myriopathidae; Tanacetipathes
Parantipathes hirondelle	MT318850	Eukaryota; Metazoa; Cnidaria; Anthozoa; Hexacorallia; Antipatharia; Schizopathidae; Parantipathes
Epizoanthus illoricatus	MN873588	Eukaryota; Metazoa; Cnidaria; Anthozoa; Hexacorallia; Zoantharia; Epizoanthidae; Epizoanthus
Hydrozoanthus gracilis	MN873589	Eukaryota; Metazoa; Cnidaria; Anthozoa; Hexacorallia; Zoantharia; Hydrozoanthidae; Hydrozoanthus
Microzoanthus occultus	MN873590	Eukaryota; Metazoa; Cnidaria; Anthozoa; Hexacorallia; Zoantharia; Microzoanthidae; Microzoanthus
Amplexidiscus fenestrafer	MH308002	Eukaryota; Metazoa; Cnidaria; Anthozoa; Hexacorallia; Corallimorpharia; Discosomidae; Amplexidiscus
Ricordea yuma	MH308004	Eukaryota; Metazoa; Cnidaria; Anthozoa; Hexacorallia; Corallimorpharia; Ricordeidae; Ricordea
Corallimorphus profundus	KP938440	Eukaryota; Metazoa; Cnidaria; Anthozoa; Hexacorallia; Corallimorpharia; Corallimorphidae; Corallimorphus
